06-08-2017 | 10:53:29 |   192.168.4.23|1|http://localhost/coupon/public/dashboard/category/delete-/6|Message : Undefined variable: category_data, File : G:\xampp\htdocs\coupon\app\Http\Controllers\AdminController.php, Line : 627
06-08-2017 | 11:34:01 |   127.0.0.1|user|http://localhost/coupon/public/coupon/api/v1/activeDeal|Message : Undefined variable: select_coupon_info, File : G:\xampp\htdocs\coupon\app\Http\Controllers\ApiController.php, Line : 888
06-08-2017 | 11:34:42 |   127.0.0.1|user|http://localhost/coupon/public/coupon/api/v1/activeDeal|Message : Undefined variable: select_coupon_info, File : G:\xampp\htdocs\coupon\app\Http\Controllers\ApiController.php, Line : 888
06-08-2017 | 11:40:39 |   192.168.4.23|user|http://localhost/coupon/public/coupon/api/v1/activeDeal|Message : Undefined variable: customer_mobile, File : G:\xampp\htdocs\coupon\app\Http\Controllers\ApiController.php, Line : 940
06-08-2017 | 11:42:06 |   192.168.4.23|user|http://localhost/coupon/public/coupon/api/v1/activeDeal|Message : Undefined variable: customer_mobile, File : G:\xampp\htdocs\coupon\app\Http\Controllers\ApiController.php, Line : 940
06-08-2017 | 11:44:00 |   192.168.4.23|user|http://localhost/coupon/public/coupon/api/v1/activeDeal|Message : Undefined property: stdClass::$customer_mobile, File : G:\xampp\htdocs\coupon\app\Http\Controllers\ApiController.php, Line : 895
06-08-2017 | 12:08:54 |   192.168.4.23|user|http://localhost/coupon/public/coupon/api/v1/activeDeal|Message : Trying to get property of non-object, File : G:\xampp\htdocs\coupon\app\Http\Controllers\ApiController.php, Line : 895
06-08-2017 | 12:09:59 |   192.168.4.23|user|http://localhost/coupon/public/coupon/api/v1/activeDeal|Message : Trying to get property of non-object, File : G:\xampp\htdocs\coupon\app\Http\Controllers\ApiController.php, Line : 895
06-08-2017 | 12:36:36 |   192.168.4.23|33|http://localhost/coupon/public/dashboard/merchant-branch|Message : SQLSTATE[23000]: Integrity constraint violation: 1048 Column 'branch_email' cannot be null (SQL: insert into `tbl_branch` (`merchant_id`, `branch_name`, `branch_slug`, `branch_code`, `branch_city`, `branch_address`, `branch_mobile`, `branch_email`, `branch_gprs_lat`, `branch_gprs_lng`, `created_by`, `updated_by`, `created_at`, `updated_at`) values (29, sfdda, sfdda, sf-123, dsf, 3vw e gfdsf, 01822266771, , 342, , 33, 33, 2017-06-08 12:36:36, 2017-06-08 12:36:36)), File : G:\xampp\htdocs\coupon\vendor\laravel\framework\src\Illuminate\Database\Connection.php, Line : 647
06-08-2017 | 17:22:06 |   192.168.0.100|user|http://localhost/coupon/public/coupon/api/v1/activeDeal|Message : Undefined variable: select_coupon_info, File : G:\xampp\htdocs\coupon\app\Http\Controllers\ApiController.php, Line : 926
06-08-2017 | 17:22:18 |   192.168.0.100|user|http://localhost/coupon/public/coupon/api/v1/activeDeal|Message : Undefined variable: select_coupon_info, File : G:\xampp\htdocs\coupon\app\Http\Controllers\ApiController.php, Line : 926
06-08-2017 | 17:23:10 |   192.168.0.100|user|http://localhost/coupon/public/coupon/api/v1/activeDeal|Message : Undefined variable: select_coupon_info, File : G:\xampp\htdocs\coupon\app\Http\Controllers\ApiController.php, Line : 926
06-08-2017 | 17:23:41 |   192.168.0.100|user|http://localhost/coupon/public/coupon/api/v1/activeDeal|Message : Undefined variable: select_coupon_info, File : G:\xampp\htdocs\coupon\app\Http\Controllers\ApiController.php, Line : 926
06-08-2017 | 17:33:22 |   192.168.0.100|user|http://localhost/coupon/public/coupon/api/v1/buy/coupon|Message : Undefined variable: coupon_code, File : G:\xampp\htdocs\coupon\app\Http\Controllers\ApiController.php, Line : 1126
06-08-2017 | 17:46:01 |   192.168.0.100|user|http://localhost/coupon/public/coupon/api/v1/buy/coupon/confirm|Message : Undefined variable: coupon_code, File : G:\xampp\htdocs\coupon\app\Http\Controllers\ApiController.php, Line : 1307
