06-12-2017 | 10:38:51 |   192.168.4.23|user|Home|http://localhost/coupon/public|Mozilla Firefox|windows|||
06-12-2017 | 10:38:59 |   192.168.4.23|user|Error 404|http://localhost/coupon/public/error/request|Mozilla Firefox|windows|||
06-12-2017 | 10:51:48 |   192.168.4.23|user|AdminLogIn|http://localhost/coupon/public/adminlogin|Mozilla Firefox|windows|||
06-12-2017 | 10:51:49 |   192.168.4.23|user|Error 404|http://localhost/coupon/public/error/request|Mozilla Firefox|windows|||
06-12-2017 | 10:51:50 |   192.168.4.23|user|Error 404|http://localhost/coupon/public/error/request|Mozilla Firefox|windows|||
06-12-2017 | 10:51:55 |   192.168.4.23|user|LogIn|http://localhost/coupon/public/login|Mozilla Firefox|windows|||
06-12-2017 | 10:51:57 |   192.168.4.23|user|Dashboard Merchant|http://localhost/coupon/public/dashboard/merchant|Mozilla Firefox|windows|||
06-12-2017 | 10:51:59 |   192.168.4.23|user|Error 404|http://localhost/coupon/public/error/request|Mozilla Firefox|windows|||
06-12-2017 | 10:52:03 |   192.168.4.23|user|Merchant All Transaction List|http://localhost/coupon/public/dashboard/merchnat-buy/coupon/list|Mozilla Firefox|windows|||
06-12-2017 | 10:52:04 |   192.168.4.23|user|Error 404|http://localhost/coupon/public/error/request|Mozilla Firefox|windows|||
06-12-2017 | 10:52:10 |   192.168.4.23|user|Merchant All Transaction List|http://localhost/coupon/public/dashboard/merchnat-buy/coupon/list?branch_name=0&coupon_name=0&search_from=2017-02-26&search_to=2017-06-12|Mozilla Firefox|windows|||
06-12-2017 | 10:52:12 |   192.168.4.23|user|Error 404|http://localhost/coupon/public/error/request|Mozilla Firefox|windows|||
06-12-2017 | 10:52:16 |   192.168.4.23|user|Merchant All Transaction List|http://localhost/coupon/public/dashboard/merchnat-buy/coupon/list?branch_name=0&coupon_name=0&search_from=2017-02-26&search_to=2017-06-12|Mozilla Firefox|windows|||
06-12-2017 | 10:52:20 |   192.168.4.23|user|Error 404|http://localhost/coupon/public/error/request|Mozilla Firefox|windows|||
06-12-2017 | 10:52:22 |   192.168.4.23|user|Branch Transaction Pdf|http://localhost/coupon/public/dashboard/transaction/pdf/from-2017-02-26/to-2017-06-12/bid-0|Mozilla Firefox|windows|||
06-12-2017 | 10:52:23 |   192.168.4.23|user|AdminLogIn|http://localhost/coupon/public/adminlogin|Mozilla Firefox|windows|||
06-12-2017 | 10:52:24 |   192.168.4.23|user|Dashboard Merchant|http://localhost/coupon/public/dashboard/merchant|Mozilla Firefox|windows|||
